date,startup,vertical,subvertical,city,investor,round,amount
1/9/2020,BYJU,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,1650
1/13/2020,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,66.3992505
1/9/2020,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,151.460595
1/2/2020,Wealthbucket,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,24.75
1/2/2020,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,14.85
1/13/2020,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,74.25
1/10/2020,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,1237.5
12/12/2024,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,49.5
12/6/2024,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,577.5
12/3/2024,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,412.5
12/13/2024,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,165
12/17/2024,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,99
12/16/2024,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,247.5
12/14/2024,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,16.5
12/11/2024,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,412.5
12/20/2024,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,1905.75
11/13/2024,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,1237.5
11/14/2024,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,4.0095
11/13/2024,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,12.375
11/17/2024,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,0
11/18/2024,Healthians,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,99
11/15/2024,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,214.5
11/20/2024,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,143.6429363
11/12/2024,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,10.725
11/20/2024,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,1113.75
11/11/2024,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,2.475
11/19/2024,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,1815
11/18/2024,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,130.35
11/15/2024,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,2334.75
11/25/2024,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,8250
10/4/2024,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,371.25
10/2/2024,Udaan,B2B,Business development,Bengaluru,"Altimeter Capital, DST Global",Series D,4826.25
10/21/2024,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,0
9/5/2024,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,37.125
9/4/2024,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,27.225
9/4/2024,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,49.5
9/4/2024,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,41.25
9/4/2024,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,148.5
9/4/2024,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,8.25
9/4/2024,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,82.5
9/4/2024,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,3712.5
9/3/2024,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,41.25
8/1/2024,CarDekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,165
8/1/2024,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,41.25
8/1/2024,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,1155
8/1/2024,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,314.16
8/12/2024,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,1031.25
8/13/2024,Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,90.75
8/13/2024,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,420.75
8/23/2024,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,305.25
8/23/2024,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,4.125
8/23/2024,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,907.5
8/22/2024,INDwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,123.75
8/21/2024,HungerBox,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,54.3675
8/23/2024,AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Seed Round,8.25
8/19/2024,Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,0
8/19/2024,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,577.5
8/27/2024,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,32175
7/2/2024,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,156.75
7/2/2024,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,20.625
7/1/2024,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,1.19625
7/3/2024,Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,8.25
7/1/2024,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,314.16
7/4/2024,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Round,4.125
7/10/2024,BYJUS,EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,1237.5
7/11/2024,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,495
7/10/2024,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,132
7/10/2024,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,47.4375
7/10/2024,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,20.625
7/9/2024,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,8.25
7/8/2024,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,2.63674125
6/5/2024,NoBroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,420.75
6/4/2024,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,82.5
6/3/2024,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,74.25
6/4/2024,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,618.75
6/4/2024,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",pre-Series A,214.5
6/3/2024,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,pre-Series A,20.625
6/6/2024,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,214.5
6/10/2024,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed Funding,3.54915
6/10/2024,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,127.875
6/6/2024,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,429
6/8/2024,Vogo Automotive Pvt. Ltd.,Transportation,Dockless Scooter Rental Company,Karnataka,Alteria Capital,Debt Funding,29.568
6/4/2024,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,28.05
5/6/2024,Ola Electric,Transport,Cabs,Bengaluru,Tata Sons,Series A,0
5/6/2024,Saahas Zero Waste,Waste Management Service,Optimization,Bengaluru,C4D Partners,Venture - Series Unknown,7.16595
5/5/2024,StyleDotMe,E-commerce,Fashion and Shopping,Delhi,"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",Bridge Round,0
5/1/2024,BlackBuck,Transport,Logistics,Bengaluru,"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,",Series D,1237.5
5/2/2024,Zenoti,Saas,Beauty and Wellness Industry,Hyderabad,Tiger Global Management,Series C,412.5
5/28/2024,Ather Energy,Automobile,Electric Vehicle,Bengaluru,Sachin Bansal,Series C,420.75
5/28/2024,FreshVnF,Agtech,Fresh Agriculture Produces,Mumbai,Equanimity Ventures,Seed Round,1155
5/30/2024,GlowRoad,E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,94.875
5/31/2024,Bira91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,46.2
4/16/2024,Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,371.25
4/12/2024,Medlife,E-commerce,Online Medicine,Bengaluru,Prasid Uno Family Trust,Private Equity,140.25
4/10/2024,Kabadiwala,E-commerce,Waste Management,Bhopal,"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,",Private Equity,3.55298625
4/13/2024,Tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,29.62884375
4/12/2024,Azah,Health and Wellness,Organic wellness,Gurugram,Unnamed angel investors,Seed Funding,1.65
4/11/2024,Setu,Fintech,Banking,Bengaluru,Lightspeed India Partners,Seed Funding,28.875
4/10/2024,Toppr,Edtech,E-learning,Mumbai,Milestone,Debt and Preference capital,52.146765
4/10/2024,Craftsvilla,E-commerce,Fashion and Apparel,Mumbai,Supera Pte Ltd,Inhouse Funding,20.15883375
4/10/2024,Unacademy,Edtech,E-learning,Bengaluru,Kalyan Krishnamurthy,Seed/ Angel Funding,2.53275
4/11/2024,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,214.5
4/19/2024,My Healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,24.75
4/17/2024,Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Venture Round,41.25
4/17/2024,Increff,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,24.75
2/1/2024,FleetX,AI,Logistics,Gurgaon,India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,Pre Series A,0
2/8/2024,Zilingo,Ecommerce,Fashion & Apparel,India/Singapore,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,1864.5
2/13/2024,NanoClean Global,Nanotechnology,Anti-Pollution,New Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,4.95
